symbol,trade_date,close_price
INFY,2026-04-06,1680.50
INFY,2026-04-07,1692.10
INFY,2026-04-08,1701.25
INFY,2026-04-09,1695.80
INFY,2026-04-10,1700.20
INFY,2026-04-13,1707.40
INFY,2026-04-14,1724.10
INFY,2026-04-15,1736.55
INFY,2026-04-16,1750.30
INFY,2026-04-17,1757.85
TCS,2026-04-06,3925.40
TCS,2026-04-07,3941.20
TCS,2026-04-08,3958.75
TCS,2026-04-09,3949.10
TCS,2026-04-10,3962.85
TCS,2026-04-13,3978.50
TCS,2026-04-14,3995.00
TCS,2026-04-15,4012.40
TCS,2026-04-16,4001.75
TCS,2026-04-17,4018.90
HDFCBANK,2026-04-06,1495.20
HDFCBANK,2026-04-07,1502.40
HDFCBANK,2026-04-08,1498.65
HDFCBANK,2026-04-09,1510.80
HDFCBANK,2026-04-10,1518.20
HDFCBANK,2026-04-13,1525.40
HDFCBANK,2026-04-14,1530.10
HDFCBANK,2026-04-15,1542.30
HDFCBANK,2026-04-16,1538.90
HDFCBANK,2026-04-17,1550.25
RELIANCE,2026-04-06,2845.60
RELIANCE,2026-04-07,2862.20
RELIANCE,2026-04-08,2878.50
RELIANCE,2026-04-09,2885.10
RELIANCE,2026-04-10,2871.40
RELIANCE,2026-04-13,2895.80
RELIANCE,2026-04-14,2910.30
RELIANCE,2026-04-15,2902.55
RELIANCE,2026-04-16,2918.40
RELIANCE,2026-04-17,2935.20
WIPRO,2026-04-06,485.20
WIPRO,2026-04-07,491.40
WIPRO,2026-04-08,488.75
WIPRO,2026-04-09,495.30
WIPRO,2026-04-10,498.10
WIPRO,2026-04-13,502.40
WIPRO,2026-04-14,505.80
WIPRO,2026-04-15,510.25
WIPRO,2026-04-16,508.60
WIPRO,2026-04-17,515.40
